,ftype,K,d,c1,e11,a1,lb1,ub1,rms_err,max_err,latitude
0,MA,1,1,0.00289269160592,2.02031191821,1,69.249736706,573.371086926,0.00611921758662,0.0102700535374,20
0,MA,1,1,0.00291150268201,2.02075122074,1,68.2608343804,564.392670337,0.00620535134213,0.0103949236176,21
0,MA,1,1,0.00293180491316,2.02119279367,1,67.2467220047,555.226378562,0.00629195981818,0.0105204601562,22
0,MA,1,1,0.00295365873963,2.02163693789,1,66.2076593926,545.874846774,0.00637910053313,0.010646748409,23
0,MA,1,1,0.00297713071047,2.02208396132,1,65.1439088708,536.340748867,0.00646683247587,0.0107738756506,24
0,MA,1,1,0.00300229408293,2.02253417974,1,64.0557349872,526.626795974,0.00655521627268,0.0109019314312,25
0,MA,1,1,0.00302922950701,2.02298791776,1,62.9434041951,516.735734892,0.00664431436421,0.0110310078457,26
0,MA,1,1,0.00305802580872,2.02344550986,1,61.8071845092,506.670346406,0.00673419119382,0.0111611998196,27
0,MA,1,1,0.00308878088863,2.02390730146,1,60.6473451342,496.433443515,0.00682491340849,0.0112926054117,28
0,MA,1,1,0.00312160275514,2.02437365003,1,59.4641560609,486.027869543,0.00691655007371,0.0114253261365,29
0,MA,1,1,0.00315661071636,2.02484492634,1,58.2578876289,475.45649613,0.00700917290393,0.0115594673087,30
0,MA,1,1,0.00319393675932,2.02532151577,1,57.0288100519,464.722221097,0.00710285651045,0.0116951384129,31
0,MA,1,1,0.00323372715148,2.02580381969,1,55.7771929028,453.827966168,0.00719767866851,0.0118324535009,32
0,MA,1,1,0.00327614430736,2.02629225702,1,54.5033045536,442.776674546,0.00729372060596,0.0119715316191,33
0,MA,1,1,0.00332136897304,2.02678726583,1,53.2074115671,431.571308315,0.00739106731595,0.0121124972728,34
0,MA,1,1,0.00336960279374,2.02728930514,1,51.8897780339,420.214845672,0.00748980789634,0.0122554809268,35
0,MA,1,1,0.00342107134574,2.02779885688,1,50.5506648495,408.710277949,0.00759003591906,0.0124006195521,36
0,MA,1,1,0.00347602773434,2.02831642794,1,49.1903289251,397.060606423,0.00769184983291,0.0125480572196,37
0,MA,1,1,0.0035347568866,2.02884255252,1,47.8090223242,385.268838883,0.00779535340378,0.0126979457493,38
0,MA,1,1,0.00359758070208,2.02937779466,1,46.4069913164,373.337985928,0.00790065619697,0.0128504454214,39
0,MA,1,1,0.00366486427122,2.02992275099,1,44.9844753384,361.271056962,0.00800787410655,0.0130057257553,40
0,MA,1,1,0.00373702343209,2.03047805379,1,43.541705851,349.071055866,0.00811712993785,0.013163966368,41
0,MA,1,1,0.0038145340189,2.03104437434,1,42.0789050792,336.740976282,0.00822855404974,0.0133253579189,42
0,MA,1,1,0.00389794326738,2.03162242669,1,40.5962846195,324.283796493,0.00834228506435,0.0134901031547,43
0,MA,1,1,0.00398788399685,2.03221297174,1,39.0940438983,311.70247382,0.00845847065328,0.0136584180661,44
0,MA,1,1,0.00408509240273,2.03281682184,1,37.5723684588,298.999938494,0.00857726841028,0.0138305331718,45
0,MA,1,1,0.00419043059654,2.03343484593,1,36.0314280561,286.179086915,0.00869884682238,0.0140066949477,46
0,MA,1,1,0.0043049154639,2.03406797518,1,34.4713745291,273.242774234,0.00882338635315,0.0141871674203,47
0,MA,1,1,0.00442975604178,2.03471720943,1,32.8923394209,260.193806144,0.00895108065387,0.0143722339493,48
0,MA,1,1,0.0045664025505,2.03538362434,1,31.2944313065,247.034929785,0.00908213792137,0.0145621992251,49
0,MA,1,1,0.00471661162558,2.03606837948,1,29.6777327853,233.768823609,0.00921678242411,0.0147573915153,50
0,MA,1,1,0.0048825344673,2.03677272738,1,28.0422970851,220.398086073,0.0093552562222,0.0149581651954,51
0,MA,1,1,0.005066838055,2.0374980239,1,26.3881442145,206.92522296,0.00949782111125,0.01516490361,52
0,MA,1,1,0.00527287512865,2.03824573994,1,24.7152565907,193.352633112,0.00964476082595,0.0153780223166,53
0,MA,1,1,0.00550492790984,2.03901747472,1,23.0235740511,179.68259232,0.00979638354551,0.0155979727734,54
0,MA,1,1,0.00576856653004,2.03981497107,1,21.3129881433,165.917235059,0.00995302475173,0.0158252465476,55
0,MA,1,1,0.00607119181127,2.04064013291,1,19.5833355639,152.058533683,0.0101150505001,0.0160603801305,56
0,MA,1,1,0.00642288578976,2.04149504538,1,17.8343905879,138.108274649,0.0102828611771,0.0163039604705,57
0,MA,1,1,0.00683779946415,2.04238199805,1,16.0658562973,124.068031198,0.0104568958322,0.0165566313514,58
0,MA,1,1,0.0073365299927,2.043303512,1,14.277354374,109.939131845,0.010637637192,0.0168191007753,59
0,MA,1,1,0.00795044351674,2.04426237119,1,12.4684131669,95.7226238482,0.0108256174883,0.0170921495447,60
