Latitude,perc70,perc75,perc80,perc85,perc90,perc95,perc99
0,10.6595574152849,11.5523854547606,12.5851492096322,13.9701819241368,16.081567448895,19.9613116813066,27.1754654923985
1,10.3975570514645,11.1504261353204,12.039477950224,13.1394386258679,14.6740049120616,17.4072198543284,24.5954463303902
2,10.5215390717873,11.2942659751169,12.1962948069063,13.3195351583001,14.8700832180261,17.5222434098551,24.5164274492263
3,10.6273000816121,11.4213640016035,12.3433485679579,13.4769988525329,15.025621030477,17.6329839036549,24.3242925340829
4,10.7299775341233,11.5387605371623,12.4722589673464,13.6201429349086,15.1650828702199,17.7556408536913,24.1053071202879
5,10.845634018359,11.6652701758765,12.6261903813504,13.7933554529545,15.3315821771643,17.9080567742747,23.9420494906038
6,10.9617970168889,11.8014678855673,12.7790169753925,13.981499247632,15.5670053643507,18.2371960320767,24.0836182001355
7,11.0671498134789,11.9372648203527,12.9705628687801,14.2229977044371,15.9188208050464,18.691881601236,24.5306150508093
8,11.2058346276325,12.1382140262937,13.221323756926,14.560810323081,16.3743446037478,19.3096741851979,25.3912489351895
9,11.3832519260484,12.3695560453326,13.5419146441875,14.9813380125404,16.9646009181116,20.1489527154256,26.3724999126097
10,11.6715172573269,12.701174123599,13.9412475182378,15.5590665420643,17.768029473768,21.1700625979078,27.443077394497
11,12.115908151769,13.2478752407401,14.6121060748385,16.3785390133438,18.7752073416751,22.3549156195247,28.5446801980397
12,12.8839161890278,14.1471033305775,15.6624809015394,17.5030985761603,19.9442270460009,23.6278276018474,29.7731469817125
13,14.0238286592429,15.3974342267221,16.9856076764362,18.9083123844188,21.3249878314267,24.9038250320005,31.1595995582735
14,15.4687807284954,16.9153394454337,18.5384067183235,20.4496349827829,22.8281955781887,26.2800459807553,32.6968304283225
15,17.1477750308793,18.5880362609363,20.2164758285829,22.1294904541682,24.5120729193153,27.9306500579082,34.432268884751
16,18.960192927918,20.4072657935866,22.0439239578789,23.974903887794,26.4027523329397,29.8806166110845,36.3672895622559
17,20.9487611440051,22.4240167406658,24.0802962693471,26.0555213283796,28.5212015578493,32.0910660413252,38.4405587822697
18,23.1178940822448,24.6581804514207,26.3657285835773,28.347783384589,30.8412057930994,34.4495500669509,40.8016971307695
19,25.4538038795488,27.0323655596354,28.7838266978241,30.798557803542,33.3010716188483,36.9670446950556,43.4706860784526
20,27.8827160845841,29.5130577822312,31.3173097623075,33.3814689295362,35.9463869019545,39.6947851165313,46.3300118601598
21,30.3695555281211,32.0456533512098,33.9197477636362,36.0722851211163,38.7189908311688,42.5673871386538,49.3339869599533
22,32.9054593634022,34.6391838342371,36.5914603599233,38.8369947720105,41.6097288455352,45.5336234400471,52.5674488944405
23,35.3523432552013,37.2417530087273,39.2722143841917,41.6112550014461,44.4976701312223,48.5951837050458,55.6712507525599
24,37.6214484494833,39.6306226736276,41.8226713538438,44.3132045690067,47.297952498069,51.5189739198053,58.7918505697128
25,39.5134378341977,41.7286134581375,44.0734278801646,46.7271065246478,49.8930236227969,54.2758149798434,62.0532301391557
26,40.860537335947,43.3112567463647,45.9263156505506,48.777825855655,52.1803265031369,56.8720932256018,64.8872009847066
27,41.5478370829581,44.2880441653828,47.154069203748,50.3379531910926,54.1208244703951,59.1480539163514,67.5265568333827
28,41.6060403734649,44.5153731128227,47.7448928777476,51.3261841484436,55.5495117624189,61.1143972835422,70.2213006766974
29,41.2069411655967,44.2163312380954,47.6474112906426,51.6294115083388,56.3749747073956,62.7487955988923,72.9176216795316
30,40.5723883270648,43.5967428699562,47.0298799307614,51.2384247623991,56.6177683676476,63.8765470900529,75.2691585350265
31,39.9099152749949,42.8442634756849,46.278720007729,50.5573318317874,56.3064679006465,64.3569018012865,77.2412174800051
32,39.2210042190783,42.1863722427634,45.6214191204682,49.8861130075354,55.6021488617967,63.9652948218958,78.2818546433078
33,38.6494935124944,41.6087283159739,45.0574432253129,49.2860489874905,54.7783887891647,63.0969166896586,78.2863593635316
34,38.1957321543213,41.0978731373499,44.5124461769453,48.6426068743578,54.0327964593847,62.0485086287243,77.6914268300629
35,37.852947801101,40.7394811959048,44.0336124738576,48.0384414162605,53.2449946757802,61.0742610894355,76.1275604921707
36,37.548030867963,40.3787028233044,43.6580823658959,47.5131466558722,52.5029599033856,60.1425957551958,74.1907357590044
37,37.2336105761017,40.031010825009,43.2017223000793,47.0291072001762,51.8785988081753,59.2338569439037,72.530615771094
38,36.9364191375155,39.6752537826224,42.8036808644089,46.5697353605412,51.3332796194652,58.4764472125573,71.5420983602299
39,36.7312710689748,39.3895082695423,42.4526057990606,46.1362156123713,50.8434508834081,57.8258417381244,70.6394064639209
40,36.4901956921147,39.1524165823311,42.1629823085105,45.7458021095161,50.4075609609355,57.1959308194717,70.0160367156876
41,36.2441992452345,38.8704302522212,41.8734825270553,45.4776476261236,50.0454854161099,56.8368927832743,69.4657041025631
42,35.989640483235,38.6507874461341,41.6774534565521,45.2752753602268,49.8708455490537,56.7509454644888,69.5650097254524
43,35.8077278066304,38.4533959442541,41.4767768128125,45.135160640929,49.7977882269393,56.71570858096,69.7798892456193
44,35.6371403697535,38.2784159571672,41.2665891522561,44.915492168699,49.5967610056228,56.6776438849289,69.8960260231945
45,35.4473865948536,38.0853004368974,41.1092632850139,44.7291272523545,49.4039005678679,56.483247400928,70.1403719556738
46,35.2624662487804,37.9280043165775,40.9470137689387,44.5432283091682,49.2086058699087,56.2384248797452,69.8473857308489
47,35.062150643193,37.7269736009229,40.7366502047302,44.3469575983314,48.9741864128819,55.9300810427913,69.4303474159989
48,34.7787406427673,37.483722509767,40.5423320531022,44.176822397193,48.8249743007212,55.7014319377193,68.7632885939939
49,34.5133719305495,37.2296489786788,40.3406067132645,44.0048469104378,48.6478801712097,55.5060498595773,68.2736529209082
50,34.2802258640047,36.9809390849975,40.0649245228069,43.7330819990958,48.4435379874576,55.3060775979483,68.2260776495941
51,34.0262777367596,36.7223670880418,39.7844613581037,43.4222790174877,48.0877057049221,55.0099017346652,68.0570348178324
52,33.7435920320166,36.3933030716342,39.4220047866067,42.9679286903339,47.6240152726874,54.4878138577312,67.4036500504665
53,33.3069575193432,35.916233930774,38.8793810234151,42.4401873000824,47.0332069355756,53.8348659485986,66.6048941139352
54,32.8022396776615,35.3498036013602,38.3288293133455,41.8920744909533,46.4142459828391,53.0685423852355,65.5661525140848
55,32.2236908515307,34.8186482846156,37.7475438665162,41.2276724342637,45.6538064598565,52.2476835050832,64.8840984754298
56,31.6213601673583,34.1673022072808,37.0658445043194,40.4982876645635,44.9356403697716,51.537676604245,64.206416160148
57,30.9447775798574,33.4789218256393,36.3486441148854,39.793413947615,44.2293695671255,50.9497003459272,63.7028309418482
58,30.258781764392,32.7808383914283,35.6630239960458,39.1334424005875,43.6344853375819,50.3435286311123,63.0792293666641
59,29.5860457012755,32.1039279773081,35.001251076754,38.4835451863537,42.9274283517264,49.655034707027,62.0945179947867
60,28.8581562152618,31.3612675197895,34.2666100296725,37.7531172425973,42.2465446577801,48.8977746860072,60.8785692767902
61,28.1486605929084,30.6353403384763,33.5336851407941,37.0040083689193,41.4793639536322,48.1523488225574,59.8316938824476
62,27.5170938578519,29.9656237396713,32.8344391546529,36.2773714093194,40.7685490375435,47.349490682498,59.0935588085839
63,26.8893996610534,29.3356200696105,32.1634277591172,35.5866504788937,39.9180933501947,46.4525468734579,58.2254566454278
64,26.2472458976281,28.6658859528292,31.4584557837748,34.8186609069444,39.1502181425337,45.574690494758,57.3003867685881
65,25.6383663394107,27.990973964225,30.707583946657,34.0305397145939,38.3158678903588,44.6588251788558,56.3426396641946
66,24.9663907235078,27.2708896951962,29.9011961018117,33.1254337215709,37.3790101923408,43.709306639889,55.4042668044537
67,24.301755389222,26.4892481649124,29.0594144606241,32.1837648901573,36.3243997710828,42.716261590129,54.6113805557139
68,23.6063565931246,25.7563190963738,28.2280302212668,31.2803165455732,35.3233257198234,41.5817668477483,53.5583518825897
69,22.9709136549852,25.0128866294658,27.4251403613664,30.3774971146187,34.3346042133452,40.4462594671637,52.6338180549882
70,22.338928745049,24.3293574205793,26.6467851944751,29.5428814493053,33.4132978254108,39.4370209138756,51.3822530451382
71,21.7158605403664,23.6751121113911,25.9419450712344,28.7990596752073,32.6304140452246,38.505141279665,50.1189120327635
72,21.2086849426566,23.0688598028334,25.3159192153459,28.1075062450877,31.8662560209508,37.7420903492749,48.9930681677087
73,20.7711285507027,22.5876133742801,24.7681043185014,27.442317681974,31.0849855269857,36.9441612559567,48.1620280427987
74,20.3927376275917,22.1868584406837,24.2795144939919,26.9014111153783,30.4479530454962,36.2045818342623,47.4068343279536
75,20.0715762781218,21.8371482296984,23.8603135458679,26.4055394578592,29.8933167885724,35.5150444892486,46.7346596854932
76,19.7353080756563,21.4524822462668,23.4444084065934,25.9100921459295,29.2877889772613,34.806580760044,45.9984609923828
77,19.4310790139508,21.1123734659913,23.0614594315317,25.4939792387921,28.7704936459181,34.1379254499018,45.2882327217141
78,19.1479217398909,20.8098835137782,22.7488530154181,25.200280200176,28.4234264867791,33.5859415850173,44.3388948420358
79,18.9509723504612,20.566071805036,22.4717818158283,24.8451227604952,28.0474564823525,33.0433311673289,43.2708723768939
80,18.7586521528878,20.3787797776095,22.2532674490865,24.5733244908475,27.6133581169439,32.3717088244913,42.37033732614
81,18.5679175436044,20.1738089062935,22.0632129805356,24.3131945309597,27.2632984599704,31.7922697017502,41.4169922839254
82,18.39168082326,19.951861285696,21.7821749842881,23.9734103402113,26.8934245279256,31.4081559024128,40.4372357897531
83,18.109937491481,19.6683502511071,21.5000651889688,23.7288582585913,26.6308632850523,31.0392742131539,39.5854095105946
84,17.9055045460624,19.4241392265031,21.1956200900311,23.3886436563345,26.2929293819498,30.7154780829088,39.0670121267619
85,17.7665717537651,19.2469083038791,20.9632335308577,23.0607680899196,25.941162248816,30.3591664017595,38.7572711378296
86,17.5184861014199,18.9641549559224,20.745330097395,22.9369765033099,25.7880763129517,30.134156991127,38.5882558028337
87,17.4138254036412,18.9407335712615,20.6755438487468,22.7747720574011,25.6911326879683,30.2573463961442,38.4092855641747
88,17.386227243204,18.941365079016,20.8075314051654,22.9448397472812,25.6310126522214,29.847562596321,38.1209649384288
89,17.3623424844401,18.988214577159,20.8886469601731,23.0181515096605,25.572514702772,29.3562950767441,38.4768777031518
