kg,N,lbs,kW,W,hp
33.2,325.692,73.21847426,37,37000,49.61781729
36,353.16,79.39352631,48,48000,64.36906026
57.1,560.151,125.9269542,58,58000,77.77928115
71.7,703.377,158.1254399,73,73000,97.89461249
64,627.84,141.1440468,84.5,84500,113.3163665
4.3,42.183,9.483115643,12,12000,16.09226507
5.1,50.031,11.24741623,15,15000,20.11533133
4.8,47.088,10.58580351,20,20000,26.82044178
18.1,177.561,39.91730073,28,28000,37.54861849
2.7,26.487,5.954514473,7,7000,9.387154622
16.5,161.865,36.38869956,18.6,18600,24.94301085
2,19.62,4.410751462,2.2,2200,2.950248595
10.5,103.005,23.15644517,20.5,20500,27.49095282
13.5,132.435,29.77257237,14.9,14900,19.98122912
18,176.58,39.69676315,27,27000,36.2075964
24,235.44,52.92901754,38,38000,50.95883938
14,137.34,30.87526023,14.7,14700,19.71302471
1.34,13.1454,2.955203479,1.75,1750,2.346788655
1.85,18.1485,4.079945102,3,3000,4.023066267
16,156.96,35.28601169,44,44000,59.00497191
31,304.11,68.36664766,29.4,29400,39.42604941
30,294.3,66.16127192,45,45000,60.345994
2.9,28.449,6.395589619,4,4000,5.364088355
2.5,24.525,5.513439327,6,6000,8.046132533
5.9,57.879,13.01171681,4,4000,5.364088355
24,235.44,52.92901754,29,29000,38.88964058
42,412.02,92.62578069,75,75000,100.5766567
26.5,259.965,58.44245687,31.5,31500,42.2421958
12.7,124.587,28.00827178,29,29000,38.88964058
9.4,92.214,20.73053187,11,11000,14.75124298
2.6,25.506,5.7339769,8.9,8900,11.93509659
42,412.02,92.62578069,75,75000,100.5766567
31,304.11,68.36664766,47.8,47800,64.10085585
45,441.45,99.24190789,66.6,66600,89.31207112
22,215.82,48.51826608,32,32000,42.91270684
80,784.8,176.4300585,59,59000,79.12030324
86,843.66,189.6623129,96,96000,128.7381205
76,745.56,167.6085555,74,74000,99.23563457
86,843.66,189.6623129,96,96000,128.7381205
7.7,75.537,16.98139313,18,18000,24.1383976
16,156.96,35.28601169,37,37000,49.61781729
134,1314.54,295.5203479,99,99000,132.7611868
149.8,1469.538,330.3652845,99,99000,132.7611868
13,127.53,28.6698845,26,26000,34.86657431
17,166.77,37.49138742,33.6,33600,45.05834219
25,245.25,55.13439327,37,37000,49.61781729
7.5,73.575,16.54031798,18.6,18600,24.94301085
14.7,144.207,32.41902324,37,37000,49.61781729
10.5,103.005,23.15644517,18.6,18600,24.94301085
127.2,1247.832,280.523793,89,89000,119.3509659
153,1500.93,337.4224868,119,119000,159.5816286
147,1442.07,324.1902324,120,120000,160.9226507
147,1442.07,324.1902324,149,149000,199.8122912
2.63,25.8003,5.800138172,7.3,7300,9.789461249
3.6,35.316,7.939352631,12.3,12300,16.49457169
1.4,13.734,3.087526023,3.7,3700,4.961781729
13.9,136.359,30.65472266,28.3,28300,37.95092511
16.5,161.865,36.38869956,27,27000,36.2075964
7.7,75.537,16.98139313,19,19000,25.47941969
10.2,100.062,22.49483245,19,19000,25.47941969
9.7,95.157,21.39214459,23.9,23900,32.05042792
92,902.52,202.8945672,92,92000,123.3740322
120,1177.2,264.6450877,119,119000,159.5816286
32.7,320.787,72.1157864,93.2,93200,124.9832587
