  
       XFOIL         Version 6.97
  
 Calculated polar for: SD7032-099-88                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.300 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -4.242   0.0000   0.01844   0.01255  -0.1033   0.9277   0.0141
  -3.314   0.1000   0.01365   0.00704  -0.1011   0.9011   0.0159
  -2.375   0.2000   0.01118   0.00432  -0.0991   0.8703   0.0307
  -0.328   0.4000   0.00741   0.00301  -0.0902   0.7835   0.9482
   0.475   0.5000   0.00747   0.00266  -0.0921   0.7387   1.0000
   1.389   0.6000   0.00778   0.00262  -0.0916   0.6834   1.0000
   2.320   0.7000   0.00830   0.00281  -0.0906   0.6177   1.0000
   3.269   0.8000   0.00907   0.00317  -0.0895   0.5467   1.0000
   4.227   0.9000   0.00989   0.00374  -0.0885   0.4793   1.0000
   5.218   1.0000   0.01105   0.00458  -0.0870   0.4094   1.0000
   6.218   1.1000   0.01223   0.00592  -0.0855   0.3470   1.0000
   7.410   1.2000   0.01490   0.00755  -0.0816   0.1894   1.0000
   8.665   1.3000   0.01818   0.01024  -0.0771   0.0895   1.0000
  10.654   1.4000   0.02576   0.01769  -0.0625   0.0071   1.0000
